iter	Passed	Remaining
998	18807	37671
999	18826	37652
1000	18846	37636
1001	18865	37618
1002	18883	37598
1003	18903	37580
1004	18921	37559
1005	18939	37540
1006	18958	37522
1007	18977	37503
1008	18996	37485
1009	19015	37466
1010	19033	37446
1011	19053	37428
1012	19071	37407
1013	19089	37388
1014	19108	37369
1015	19126	37349
1016	19145	37330
1017	19164	37312
1018	19182	37292
1019	19201	37273
1020	19221	37256
1021	19239	37236
1022	19258	37217
1023	19278	37200
1024	19297	37182
1025	19316	37164
1026	19335	37145
1027	19353	37126
1028	19372	37106
1029	19391	37089
1030	19410	37070
1031	19428	37050
1032	19447	37030
1033	19466	37012
1034	19484	36991
1035	19502	36972
1036	19521	36954
1037	19540	36934
1038	19559	36915
1039	19577	36896
1040	19596	36877
1041	19615	36858
1042	19633	36839
1043	19652	36820
1044	19671	36801
1045	19690	36783
1046	19709	36764
1047	19727	36744
1048	19746	36725
1049	19765	36706
1050	19784	36688
1051	19803	36669
1052	19821	36649
1053	19839	36629
1054	19858	36610
1055	19876	36591
1056	19894	36571
1057	19912	36550
1058	19930	36530
1059	19949	36510
1060	19967	36491
1061	19986	36472
1062	20004	36452
1063	20024	36435
1064	20043	36416
1065	20061	36396
1066	20079	36377
1067	20098	36358
1068	20116	36337
1069	20134	36316
1070	20152	36296
1071	20170	36277
1072	20189	36258
1073	20209	36241
1074	20227	36221
1075	20246	36203
1076	20265	36183
1077	20283	36164
1078	20302	36145
1079	20320	36124
1080	20338	36104
1081	20356	36085
1082	20375	36066
1083	20393	36046
1084	20412	36027
1085	20430	36007
1086	20449	35988
1087	20467	35969
1088	20488	35954
1089	20507	35935
1090	20526	35916
1091	20545	35898
1092	20565	35880
1093	20583	35862
1094	20601	35841
1095	20620	35821
1096	20638	35802
1097	20657	35783
1098	20676	35764
1099	20693	35744
1100	20712	35725
1101	20730	35705
1102	20749	35686
1103	20767	35666
1104	20785	35645
1105	20803	35625
1106	20822	35606
1107	20841	35589
1108	20859	35568
1109	20878	35549
1110	20897	35530
1111	20915	35510
1112	20934	35492
1113	20952	35472
1114	20970	35452
1115	20989	35433
1116	21007	35414
1117	21026	35394
1118	21045	35376
1119	21064	35358
1120	21083	35339
1121	21102	35320
1122	21119	35299
1123	21137	35278
1124	21155	35259
1125	21174	35241
1126	21192	35220
1127	21213	35205
1128	21231	35185
1129	21249	35165
1130	21267	35145
1131	21286	35126
1132	21304	35106
1133	21322	35085
1134	21341	35068
1135	21360	35048
1136	21378	35029
1137	21397	35010
1138	21415	34990
1139	21434	34971
1140	21451	34951
1141	21472	34934
1142	21491	34916
1143	21509	34896
1144	21527	34877
1145	21546	34858
1146	21566	34841
1147	21585	34823
1148	21605	34804
1149	21624	34787
1150	21642	34767
1151	21661	34749
1152	21680	34729
1153	21698	34709
1154	21716	34690
1155	21735	34671
1156	21755	34654
1157	21773	34634
1158	21791	34614
1159	21809	34595
1160	21828	34576
1161	21847	34557
1162	21867	34539
1163	21885	34521
1164	21904	34501
1165	21922	34482
1166	21941	34463
1167	21959	34443
1168	21979	34426
1169	21998	34407
1170	22016	34387
1171	22034	34368
1172	22053	34350
1173	22072	34330
1174	22090	34310
1175	22109	34291
1176	22127	34272
1177	22145	34251
1178	22164	34233
1179	22182	34214
1180	22202	34197
1181	22221	34177
1182	22240	34158
1183	22258	34140
1184	22277	34121
1185	22296	34103
1186	22315	34084
1187	22333	34063
1188	22352	34045
1189	22372	34028
1190	22390	34009
1191	22410	33991
1192	22428	33971
1193	22448	33954
1194	22467	33936
1195	22487	33918
1196	22506	33900
1197	22524	33880
1198	22543	33862
1199	22562	33843
1200	22581	33825
1201	22600	33806
1202	22619	33788
1203	22639	33771
1204	22659	33753
1205	22679	33736
1206	22697	33717
1207	22716	33698
1208	22735	33680
1209	22753	33660
1210	22771	33640
1211	22790	33621
1212	22808	33601
1213	22827	33582
1214	22846	33563
1215	22864	33545
1216	22883	33526
1217	22902	33508
1218	22921	33489
1219	22939	33469
1220	22958	33450
1221	22977	33432
1222	23001	33420
1223	23020	33402
1224	23040	33385
1225	23059	33367
1226	23078	33348
1227	23097	33329
1228	23116	33310
1229	23135	33292
1230	23154	33274
1231	23173	33255
1232	23192	33236
1233	23214	33222
1234	23233	33204
1235	23252	33184
1236	23271	33166
1237	23290	33148
1238	23309	33129
1239	23326	33109
1240	23346	33091
1241	23366	33074
1242	23385	33055
1243	23404	33036
1244	23422	33017
1245	23440	32997
1246	23459	32978
1247	23478	32960
1248	23498	32943
1249	23517	32924
1250	23536	32906
1251	23555	32888
1252	23575	32870
1253	23594	32852
1254	23613	32833
1255	23633	32815
1256	23651	32795
1257	23669	32776
1258	23688	32757
1259	23707	32739
1260	23726	32719
1261	23745	32702
1262	23764	32682
1263	23783	32664
1264	23801	32644
1265	23820	32625
1266	23838	32605
1267	23856	32586
1268	23875	32567
1269	23893	32547
1270	23912	32529
1271	23930	32509
1272	23948	32489
1273	23967	32470
1274	23986	32452
1275	24004	32432
1276	24023	32414
1277	24043	32396
1278	24062	32377
1279	24080	32358
1280	24098	32338
1281	24117	32319
1282	24135	32300
1283	24154	32281
1284	24172	32261
1285	24191	32242
1286	24210	32224
1287	24229	32206
1288	24248	32187
1289	24267	32168
1290	24286	32149
1291	24304	32130
1292	24324	32112
1293	24343	32094
1294	24369	32085
1295	24389	32067
1296	24408	32048
1297	24427	32030
1298	24447	32013
1299	24466	31995
1300	24486	31977
1301	24505	31959
1302	24524	31940
1303	24543	31921
1304	24563	31904
1305	24582	31885
1306	24607	31875
1307	24634	31867
1308	24666	31864
1309	24696	31860
1310	24723	31851
1311	24749	31842
1312	24768	31823
1313	24787	31804
1314	24806	31785
1315	24824	31766
1316	24844	31748
1317	24862	31729
1318	24881	31709
1319	24900	31691
1320	24919	31672
1321	24938	31654
1322	24957	31635
1323	24976	31616
1324	24994	31596
1325	25013	31577
1326	25032	31559
1327	25053	31543
1328	25071	31523
1329	25090	31504
1330	25109	31485
1331	25128	31467
1332	25149	31451
1333	25169	31433
1334	25189	31416
1335	25208	31397
1336	25227	31378
1337	25246	31359
1338	25264	31339
1339	25282	31320
1340	25301	31301
1341	25320	31282
1342	25340	31265
1343	25359	31246
1344	25379	31228
1345	25396	31208
1346	25416	31190
1347	25435	31171
1348	25455	31154
1349	25474	31135
1350	25492	31115
1351	25511	31096
1352	25529	31077
1353	25548	31058
1354	25569	31041
1355	25588	31022
1356	25608	31005
1357	25627	30987
1358	25646	30968
1359	25665	30949
1360	25683	30929
1361	25702	30910
1362	25721	30892
1363	25740	30873
1364	25758	30853
1365	25776	30833
1366	25794	30813
1367	25812	30793
1368	25831	30775
1369	25850	30756
1370	25869	30737
1371	25888	30719
1372	25907	30700
1373	25926	30681
1374	25945	30662
1375	25964	30644
1376	25984	30627
1377	26004	30608
1378	26023	30590
1379	26043	30572
1380	26062	30554
1381	26081	30535
1382	26099	30515
1383	26119	30497
1384	26138	30479
1385	26156	30459
1386	26175	30440
